"Event ID","Report Number","Officer Badge ID","Officer Dispatched DateTime","Officer Cleared DateTime","Street","City","State","Zip Code","Call Type","Clearance Code","Category"
"2400095098","","8259      ","2024-11-10 15:45:26","2024-11-10 15:47:22","802 HARBOUR WEST DR","ROCKY MOUNT","NC","","DOMESTIC DISTURBANCE","CBCK","DOMESTIC DISTURBANCE"
"2400095099","","7975      ","2024-11-10 15:49:13","2024-11-10 16:04:27","1100 N WESLEYAN BLVD","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095100","","6351      ","2024-11-10 15:59:13","2024-11-10 16:07:02","99 CARR ST/RIVER DR","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095100","","8498      ","2024-11-10 15:59:13","2024-11-10 16:07:02","99 CARR ST/RIVER DR","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095102","2024007959","6351      ","2024-11-10 16:08:12","2024-11-10 16:27:23","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","7170      ","2024-11-10 16:03:33","2024-11-10 17:33:30","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","7975      ","2024-11-10 16:07:38","2024-11-10 16:18:08","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","8498      ","2024-11-10 16:08:12","2024-11-10 16:27:23","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","8535      ","2024-11-10 16:03:33","2024-11-10 17:33:30","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","2886      ","2024-11-10 16:16:57","2024-11-10 17:12:57","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","5555      ","2024-11-10 16:07:39","2024-11-10 16:39:43","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","6441      ","2024-11-10 16:03:34","2024-11-10 16:09:47","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","7381      ","2024-11-10 16:06:09","2024-11-10 17:33:30","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","7854      ","2024-11-10 16:07:19","2024-11-10 16:09:47","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","8192      ","2024-11-10 16:06:09","2024-11-10 17:33:30","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","8259      ","2024-11-10 16:07:25","2024-11-10 16:09:41","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095102","2024007959","8406      ","2024-11-10 16:04:04","2024-11-10 17:14:41","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","B   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095104","","7799      ","2024-11-10 16:18:35","2024-11-10 16:59:02","305 COKEY RD","ROCKY MOUNT","NC","","WARRANT SERVICE","B   ","WARRANT SERVICE"
"2400095106","","6441      ","2024-11-10 16:25:54","2024-11-10 16:58:11","161 GREEN PASTURE RD","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095106","","8259      ","2024-11-10 16:25:55","2024-11-10 16:58:56","161 GREEN PASTURE RD","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095107","","6351      ","2024-11-10 16:29:31","2024-11-10 16:48:14","241 SWIFT RD/PLANTERS ST","ROCKY MOUNT","NC","","SUSPICIOUS PERSON","C   ","SUSPICIOUS PERSON"
"2400095107","","8498      ","2024-11-10 16:29:31","2024-11-10 16:48:14","241 SWIFT RD/PLANTERS ST","ROCKY MOUNT","NC","","SUSPICIOUS PERSON","C   ","SUSPICIOUS PERSON"
"2400095109","","7975      ","2024-11-10 16:53:21","2024-11-10 16:57:06","597 N CHURCH ST/W GRAND AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095110","","6351      ","2024-11-10 16:54:04","2024-11-10 17:02:20","299 E RALEIGH BLVD/MARIGOLD ST","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095110","","8498      ","2024-11-10 16:54:04","2024-11-10 17:02:20","299 E RALEIGH BLVD/MARIGOLD ST","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095112","","7854      ","2024-11-10 16:58:45","2024-11-10 17:09:59","2351 N CHURCH ST/AIRPORT RD","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095113","","6441      ","2024-11-10 17:07:08","2024-11-10 17:25:10","69 KING HENRY CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095113","","7799      ","2024-11-10 17:06:43","2024-11-10 17:26:00","69 KING HENRY CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095113","","6351      ","2024-11-10 17:05:30","2024-11-10 17:06:16","69 KING HENRY CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095113","","7777      ","2024-11-10 17:05:30","2024-11-10 17:07:22","69 KING HENRY CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095113","","8498      ","2024-11-10 17:05:30","2024-11-10 17:06:16","69 KING HENRY CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095114","","6351      ","2024-11-10 17:09:25","2024-11-10 17:12:48","1109 RUSSELL ST","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q2  ","ALARM HOLD UP / PANIC / DURESS"
"2400095114","","8498      ","2024-11-10 17:09:25","2024-11-10 17:12:48","1109 RUSSELL ST","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q2  ","ALARM HOLD UP / PANIC / DURESS"
"2400095115","","6441      ","2024-11-10 17:32:28","2024-11-10 17:54:09","340-B ATLANTIC AVE","ROCKY MOUNT","NC","","NOISE ORDINANCE","G   ","NOISE ORDINANCE"
"2400095115","","6351      ","2024-11-10 17:16:59","2024-11-10 17:22:24","340-B ATLANTIC AVE","ROCKY MOUNT","NC","","NOISE ORDINANCE","G   ","NOISE ORDINANCE"
"2400095115","","8498      ","2024-11-10 17:16:59","2024-11-10 17:22:24","340-B ATLANTIC AVE","ROCKY MOUNT","NC","","NOISE ORDINANCE","G   ","NOISE ORDINANCE"
"2400095116","2024007958","6351      ","2024-11-10 17:22:24","2024-11-10 17:40:51","2280 W RALEIGH BLVD","ROCKY MOUNT","NC","","LARCENY IN PROGRESS / JO","A   ","LARCENY IN PROGRESS / JO"
"2400095116","2024007958","7777      ","2024-11-10 17:22:55","2024-11-10 17:28:06","2280 W RALEIGH BLVD","ROCKY MOUNT","NC","","LARCENY IN PROGRESS / JO","A   ","LARCENY IN PROGRESS / JO"
"2400095116","2024007958","8498      ","2024-11-10 17:22:24","2024-11-10 17:40:51","2280 W RALEIGH BLVD","ROCKY MOUNT","NC","","LARCENY IN PROGRESS / JO","A   ","LARCENY IN PROGRESS / JO"
"2400095117","","7799      ","2024-11-10 17:32:46","2024-11-10 17:41:31","3029 SUNSET AVE/CLIFTON RD","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095118","","6351      ","2024-11-10 17:43:24","2024-11-10 17:51:37","330 S CHURCH ST","ROCKY MOUNT","NC","","REQUEST CALLBACK","D   ","REQUEST CALLBACK"
"2400095118","","8498      ","2024-11-10 17:43:24","2024-11-10 17:51:37","330 S CHURCH ST","ROCKY MOUNT","NC","","REQUEST CALLBACK","D   ","REQUEST CALLBACK"
"2400095119","","7381      ","2024-11-10 17:43:19","2024-11-10 18:03:17","1459 E RALEIGH BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
